conml,conm,tic,cik,gvkey,Works?
Brightpoint Inc,BRIGHTPOINT INC,CELL,0000918946,30006,
VIVUS Inc,VIVUS INC,VVUSQ,0000881524,30007,
Turbochef Technologies Inc,TURBOCHEF TECHNOLOGIES INC,OVEN,0000916545,30008,
MTI Technology Corp,MTI TECHNOLOGY CORP,MTICQ,0000901696,30009,
Freshii Inc,FRESHII INC,FRHHF,0001566256,30010,
Point Therapeutics Inc,POINT THERAPEUTICS INC,POTP,,30012,
CFM Corp,CFM CORP,CFM.1,0001082433,30014,
LaCrosse Footwear Inc,LACROSSE FOOTWEAR INC,BOOT.1,0000919443,30016,
Millicom International Cellular SA,MILLICOM INTL CELLULAR SA,TIGO,0000912958,30024,
Numerex Corp.,NUMEREX CORP  -CL A,NMRX,0000870753,30029,
Silicom Ltd,SILICOM LTD,SILC,0000916793,30030,
Eagle Materials Inc,EAGLE MATERIALS INC,EXP,0000918646,30032,
Southern Missouri Bancorp Inc,SOUTHERN MISSOURI BANCP INC,SMBC,0000916907,30055,
American Eagle Outfitters Inc.,AMERN EAGLE OUTFITTERS INC,AEO,0000919012,30059,
Agree Realty Corp,AGREE REALTY CORP,ADC,0000917251,30067,
DT Industries Inc,DT INDUSTRIES INC,DTIIQ,0000918999,30068,
Mills Corp (The),MILLS CORP,MLS.2,0000914713,30072,
Vermilion Energy Inc,VERMILION ENERGY INC,VET,0001293135,30075,
Hamilton Lane Inc,HAMILTON LANE INC,HLNE,0001433642,30076,
Snap Inc,SNAP INC,SNAP,0001564408,30091,
MRO Software Inc,MRO SOFTWARE INC,MROI,0000920354,30094,
Quintiles Transnational Corp,QUINTILES TRANSNATIONAL CORP,0573B,0000919623,30095,
Ingersoll Rand Inc,INGERSOLL RAND INC,IR,0001699150,30098,
TDC A/S,TDC A/S,TLDAY,0001605975,30112,
Crescent Real Estate Equities Co,CRESCENT R E EQUITIES INC,CEI.Z.,0000918958,30117,
MITY Enterprises Inc,MITY ENTERPRISES INC,MITY,0000921030,30121,
Lehman Brothers Holdings Inc,LEHMAN BROTHERS HOLDINGS INC,LEHMQ,0000806085,30128,
Nektar Therapeutics,NEKTAR THERAPEUTICS,NKTR,0000906709,30137,
Jos. A. Bank Clothiers Inc,JOS A BANK CLOTHIERS INC,JOSB,0000920033,30138,
Kerzner International Ltd,KERZNER INTERNATIONAL LTD,KZL,0000914444,30143,
ProPetro Holding Corp,PROPETRO HOLDING CORP,PUMP,0001680247,30145,
Investment Technology Group Inc.,INVESTMENT TECHNOLOGY GP INC,ITG,0000920424,30146,
Sun-Times Media Group Inc,SUN-TIMES MEDIA GROUP INC,SUTMQ,0000868512,30152,
PSS World Medical Inc,PSS WORLD MEDICAL INC,PSSI,0000920527,30161,
Flex Ltd,FLEX LTD,FLEX,0000866374,30170,
Diversicare Healthcare Services Inc,DIVERSICARE HEALTHCARE SVCS,DVCR,0000919956,30175,
Pulaski Financial Corp,PULASKI FINANCIAL CORP,PULB,0001062438,30188,
Thermadyne Holdings Corp,THERMADYNE HOLDINGS CORP,THMD,0000850660,30198,
Radica Games Ltd,RADICA GAMES LTD,RADA.1,0000919642,30199,
Derma Sciences Inc,DERMA SCIENCES INC,DSCI,0000892160,30205,
Prophotonix Ltd,PROPHOTONIX LTD,STKR,0000094538,30209,
Banco Santander-Chile,BANCO SANTANDER-CHILE,BSAC,0001027552,30218,
Blyth Inc,BLYTH INC,BTH,0000921503,30219,
Sypris Solutions Inc,SYPRIS SOLUTIONS INC,SYPR,0000864240,30220,
Ameris Bancorp,AMERIS BANCORP,ABCB,0000351569,30222,
Sachem Capital Corp,SACHEM CAPITAL CORP,SACH,0001682220,30223,
Frontier Airlines Holdings Inc,FRONTIER AIRLINES HOLDINGS,FRNTQ,0001351548,30231,
McMoRan Exploration Co,MCMORAN EXPLORATION CO,MMR,0000064279,30234,
Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,APHB,,30236,
Merix Corp,MERIX CORP,MERX,0000921365,30247,
NPS Pharmaceuticals Inc,NPS PHARMACEUTICALS INC,NPSP,0000890465,30255,
Northfield Laboratories Inc,NORTHFIELD LABORATORIES INC,NFLDQ,0000920947,30257,
Penn National Gaming Inc,PENN NATIONAL GAMING INC,PENN,0000921738,30259,
Simpson Manufacturing Co. Inc.,SIMPSON MANUFACTURING INC,SSD,0000920371,30260,
La Jolla Pharmaceutical Co,LA JOLLA PHARMACEUTICAL CO,LJPC,0000920465,30281,
Liberty Oilfield Services Inc,LIBERTY OILFIELD SVS,LBRT,0001694028,30284,
Essex Property Trust Inc.,ESSEX PROPERTY TRUST,ESS,0000920522,30293,
Highwoods Properties Inc.,HIGHWOODS PROPERTIES INC,HIW,0000921082,30298,
Consolidated Graphics Inc.,CONSOLIDATED GRAPHICS INC,CGX,0000921500,30310,
Viridian Therapeutics Inc,VIRIDIAN THERAPEUTICS INC,VRDN,0001590750,30311,
Imax Corp,IMAX CORP,IMAX,0000921582,30312,
"Grupo Iusacell SA De CV (New), Mexico",GRUPO IUSACELL SA,CEL.2,0001089695,30331,
Liberty Property Trust,LIBERTY PROPERTY TRUST,LPT,0000921112,30354,
CI Financial Corp,CI FINANCIAL CORP,CIXX,0001829948,30369,
First Industrial Realty Trust Inc,FIRST INDL REALTY TRUST INC,FR,0000921825,30384,
SUPERIOR GOLD INC,SUPERIOR GOLD INC,SUPGF,0001687757,30385,
Warrior Met Coal Inc,WARRIOR MET COAL INC,HCC,0001691303,30397,
FalconStor Software Inc,FALCONSTOR SOFTWARE INC,FALC,0000922521,30398,
AirTran Holdings Inc.,AIRTRAN HOLDINGS INC,AAI,0000948846,30399,
Netshoes Cayman Ltd,NETSHOES CAYMAN LTD,NETS,0001562767,30401,
Stella-Jones Inc,STELLA-JONES INC,STLJF,0001487936,30421,
Alta Mesa Resources Inc,ALTA MESA RESOURCES INC,AMRQQ,0001690769,30428,
J Jill Inc,J JILL INC,JILL,0001687932,30435,
Fresh Del Monte Produce Inc.,FRESH DEL MONTE PRODUCE INC,FDP,0001047340,30443,
Virbac Corp,VIRBAC CORP,VBAC,0000922814,30451,
Banco Bradesco Sa Brad,BRADESCO BANCO,BBD,0001160330,30452,
Grupo Kuo Sab De CV,GRUPO KUO SAB DE CV,DES.2,0000925259,30462,
Greenbrier Cos Inc (The),GREENBRIER COS INC (THE),GBX,0000923120,30463,
Bio Pappel S.A.B. De C.V.,BIO PAPPEL SAB DE CV,CDG,0000925262,30466,
Matthews International Corp,MATTHEWS INTL CORP  -CL A,MATW,0000063296,30477,
Apartment Investment and Management Co,APARTMENT INVST & MGMT CO,AIV,0000922864,30490,
FelCor Lodging Trust Inc,FELCOR LODGING TRUST INC,FCH,0000923603,30495,
KB Financial Group Inc,KB FINANCIAL GROUP,KB,0001445930,30501,
Hispanic Broadcasting Corporation,HISPANIC BROADCASTING  -CL A,HSP.,0000922503,30534,
GEO Group Inc (The),GEO GROUP INC,GEO,0000923796,30536,
Enel Generacion Chile SA,ENEL GENERACION CHILE SA,EOCCY,0000926864,30538,
Home Properties Inc.,HOME PROPERTIES INC,HME,0000923118,30539,
RF Monolithics Inc,RF MONOLITHICS INC,RFMI,0000922204,30540,
Cima Labs Inc,CIMA LABS INC,CIMA,0000833298,30546,
Solaris Oilfield Infrastructure Inc,SOLARIS OILFIELD IF INC,SOI,0001697500,30547,
Taro Pharmaceutical Industries Ltd,TARO PHARMACEUTICL INDS LTD,TARO,0000906338,30554,
Miller Industries Inc/TN,MILLER INDUSTRIES INC/TN,MLR,0000924822,30558,
Canada Goose Holdings Inc,CANADA GOOSE HLDG,GOOS,0001690511,30560,
Ardagh Group SA,ARDAGH GROUP SA,ARD,0001689662,30571,
ADTRAN Inc,ADTRAN INC,ADTN,0000926282,30576,
Itau Unibanco Holding SA,ITAU UNIBANCO HLDG SA,ITUB,0001132597,30580,
National Bank of Greece,NATIONAL BANK OF GREECE,NBGGY,0001096061,30582,
Tower Automotive Inc.,TOWER AUTOMOTIVE INC,TWRAQ,0000925548,30598,
Amedisys Inc,AMEDISYS INC,AMED,0000896262,30612,
Energy Focus Inc,ENERGY FOCUS INC,EFOI,0000924168,30614,
Chindex International Inc,CHINDEX INTL INC,CHDX,0000922717,30618,
Yext Inc,YEXT INC,YEXT,0001614178,30622,
Mack-Cali Realty Corp,MACK-CALI REALTY CORP,VRE,0000924901,30637,
Collins & Aikman Corp,COLLINS & AIKMAN CORP,CKCRQ,0000846815,30644,
Wave Systems Corp.,WAVE SYSTEMS CORP  -CL A,WAVXQ,0000919013,30649,
Darling Ingredients Inc,DARLING INGREDIENTS INC,DAR,0000916540,30651,
Alteryx Inc,ALTERYX INC,AYX,0001689923,30655,
Sirius XM Holdings Inc,SIRIUS XM HOLDINGS INC,SIRI,0000908937,30662,
Hexo Corp,HEXO CORP,HEXO,0001690947,30664,
Reliance Steel & Aluminum Co,RELIANCE STEEL & ALUMINUM CO,RS,0000861884,30671,
ARIAD Pharmaceuticals Inc,ARIAD PHARMACEUTICALS INC,ARIA,0000884731,30674,
Business Objects SA,BUSINESS OBJECTS SA,BOBJY,0000928753,30688,
Innkeepers USA Trust,INNKEEPERS USA TRUST,KPA,0000926866,30692,
Tix Corp,TIX CORP,TIXC,0000925956,30701,
Mattson Technology Inc,MATTSON TECHNOLOGY INC,MTSN,0000928421,30710,
TESSCO Technologies Inc,TESSCO TECHNOLOGIES INC,TESS,0000927355,30714,
Protection One Inc,PROTECTION ONE INC,PONE,0000916230,30720,
OKTA INC,OKTA INC,OKTA,0001660134,30736,
Huaneng Power International Inc,HUANENG POWER INTERNATIONAL,HNP,0000929058,30747,
US Xpress Enterprises Inc,US XPRESS ENTP INC  -CL A,XPRSA,,30751,
Orphan Medical Inc,ORPHAN MEDICAL INC,ORPH.,0000929548,30775,
Central European Media Enterprises Ltd,CENTRAL EUROPEAN MEDIA,CETV,0000925645,30778,
Micro Linear Corp,MICRO LINEAR CORP,MLIN,0000875359,30789,
Fibria Celulose SA,FIBRIA CELULOSE SA,FBR,0001110649,30806,
Lafarge SA,LAFARGE SA,LFRGY,0000913785,30807,
PT Indosat Tbk,INDOSAT TBK,PTINY,0000929700,30821,
Realty Income Corp.,REALTY INCOME CORP,O,0000726728,30822,
Transportadora De Gas Del Sur SA Tgs,TRANSPORTADORA DE GAS SUR,TGS,0000931427,30838,
Microtek Medical Holdings Inc,MICROTEK MEDICAL HLDGS INC,MTMD,0000929299,30843,
Stratasys Ltd,STRATASYS LTD,SSYS,0001517396,30847,
Knight-Swift Transportation Holdings Inc,KNIGHT-SWIFT TRPTN HLDGS INC,KNX,0001492691,30861,
Wescast Industries Inc,WESCAST INDUSTRIES  -CL A,WCSTF,0000928422,30863,
Cinergy Corp.,CINERGY CORP,DUK6,0000899652,30865,
Aspen Technology Inc,ASPEN TECHNOLOGY INC,AZPN,0000929940,30870,
Covenant Logistics Group Inc,COVENANT LOGISTICS GROUP INC,CVLG,0000928658,30877,
Hudson Technologies Inc,HUDSON TECHNOLOGIES INC,HDSN,0000925528,30899,
TechnipFMC plc,TECHNIPFMC PLC,FTI,0001681459,30923,
Mullen Group Ltd,MULLEN GROUP LTD,MLLGF,,30927,
Souce Energy Services,SOURCE ENERGY SERVICES LTD,SCEYF,,30944,
ION Media Networks Inc,ION MEDIA NETWORKS INC,IIONQ,0000923877,30945,
Pinnacle Systems Inc,PINNACLE SYSTEMS INC,PCLE,0000774695,30946,
Media General Inc,MEDIA GENERAL INC,MEG.2,0000216539,30950,
Cadence Bancorporation,CADENCE BANCORPORATION,CADE.3,0001614184,30962,
Health Fitness Corp,HEALTH FITNESS CORP,FIT.1,0000886432,30971,
Capital One Financial Corp.,CAPITAL ONE FINANCIAL CORP,COF,0000927628,30990,
Emerald Holding Inc,EMERALD HOLDING INC,EEX,0001579214,30998,
Carvana Co,CARVANA CO,CVNA,0001690820,30999,
Cloudera Inc,CLOUDERA INC,CLDR,0001535379,31004,
NCS Multistage Holdings Inc,NCS MULTISTAGE HLDG INC,NCSM,0001692427,31005,
Metrogas Sa,METROGAS SA,MGS.2,0000931069,31010,
Assisted Living Concepts Inc,ASSISTED LIVING CONCEPTS INC,ALC.3,0000929994,31037,
Telewest Communications PLC,TELEWEST COMMUNICATIONS PLC,TLWT,,31041,
China Rapid Finance Ltd -Old,CHINA RAPID FNC- ADR -OLD,XRF.1,,31060,
UroGen Pharma Ltd,UROGEN PHARMA LTD,URGN,0001668243,31061,
Veritone Inc,VERITONE INC,VERI,0001615165,31091,
Royal Group Technologies Ltd,ROYAL GROUP TECHNOLOGIES LTD,RYG,0001047693,31105,
Five Point Holdings LLC,FIVE POINT HOLDINGS LLC,FPH,0001574197,31108,
Antero Midstream Corp,ANTERO MIDSTREAM CORP,AM,0001623925,31109,
Apollo Education Group Inc,APOLLO EDUCATION GROUP INC,APOL,0000929887,31122,
Sky PLC,SKY PLC,BSY.1,0000932793,31137,
STMicroelectronics NV,STMICROELECTRONICS NV,STM,0000932787,31142,
Micrel Inc.,MICREL INC,MCRL,0000932111,31147,
Rosehill Resources Inc,ROSEHILL RESOURCES INC,ROSEQ,0001659122,31156,
Guidant Corp.,GUIDANT CORP,GDT,0000929987,31166,
RSA Security Inc,RSA SECURITY INC,RSAS,0000932064,31168,
Universal Stainless & Alloy Products Inc,UNVL STAINLESS & ALLOY PRODS,USAP,0000931584,31170,
Littlefield Corp,LITTLEFIELD CORP,LTFD,0000931683,31172,
Savara Inc,SAVARA INC,SVRA,0001160308,31177,
Trans World Corp/NV,TRANS WORLD CORP/NV,TWOC,0000914577,31189,
Digital Angel Corp,DIGITAL ANGEL CORP-OLD2,DIGA.1,,31193,
Stillwater Mining Co,STILLWATER MINING CO,SWC,0000931948,31203,
Fomento Economico Mexican SAB de CV,FOMENTO ECONOMICO MEXICANO,FMX,0001061736,31205,
Mind Technology Inc,MIND TECHNOLOGY INC,MIND,0000926423,31214,
OrthoSynetics Inc,ORTHOSYNETICS INC,OCAI,0000931702,31223,
ITT Educational Services Inc,ITT EDUCATIONAL SERVICES INC,ESINQ,0000922475,31224,
NutriSystem Inc,NUTRISYSTEM INC,NTRI,0001096376,31227,
Teletouch Communications Inc.,TELETOUCH COMMUNICATIONS INC,TLLEQ,0000928659,31234,
Appian Corp,APPIAN CORP,APPN,0001441683,31236,
Rio Narcea Gold Mines Ltd,RIO NARCEA GOLD MINES LTD,RNO.1,0001098506,31247,
Altimmune Inc,ALTIMMUNE INC,ALT,0001326190,31249,
KKR Real Estate Finance Trust Inc,KKR REAL ESTATE FIN TR INC,KREF,0001631596,31251,
Magnolia Oil & Gas Corp,MAGNOLIA OIL & GAS CORP,MGY,0001698990,31252,
Tower Semiconductor Ltd,TOWER SEMICONDUCTOR LTD,TSEM,0000928876,31255,
Guaranty Bancshares Inc,GUARANTY BANCSHARES INC,GNTY,0001058867,31265,
Real Matters Inc,REAL MATTERS INC,RLLMF,,31266,
ASV Holdings Inc,ASV HOLDINGS INC,ASV,0001690881,31292,
G1 Therapeutics Inc,G1 THERAPEUTICS INC,GTHX,0001560241,31294,
Focus Financial Partners Inc,FOCUS FINANCL PRTNR INC,FOCS,0001651052,31295,
Bright Scholar Education Holdings Ltd,BRIGHT SCHOLAR EDU-ADR,BEDU,0001696355,31317,
Motus GI Holdings Inc,MOTUS GI HOLDINGS INC,MOTS,0001686850,31348,
Hanmi Financial Corp,HANMI FINANCIAL CORP,HAFC,0001109242,31368,
EasyLink Services International Corp,EASYLINK SERVICES INTL CORP,ESIC,0000894738,31381,
PlayAGS Inc,PLAYAGS INC,AGS,0001593548,31386,
Pantry Inc (The),PANTRY INC,PTRY,0000915862,31392,
Athenex Inc,ATHENEX INC,ATNX,0001300699,31405,
ProPhase Labs Inc,PROPHASE LABS INC,PRPH,0000868278,31418,
Premier Exhibitions Inc,PREMIER EXHIBITIONS INC,PRXIQ,0000796764,31419,
China Yuchai International Ltd,CHINA YUCHAI INTERNATIONAL,CYD,0000932695,31424,
Oasis Midstream Partners LP,OASIS MIDSTREAM PARTNR,OMP,0001652133,31442,
Cox Communications Inc,COX COMMUNICATIONS INC,0059A,0000025305,31448,
Insight Enterprises Inc,INSIGHT ENTERPRISES INC,NSIT,0000932696,31453,
ShotSpotter Inc,SHOTSPOTTER INC,SSTI,0001351636,31457,
Rent-A-Center Inc,RENT-A-CENTER INC,RCII,0000933036,31460,
WideOpenWest Inc,WIDEOPENWEST INC,WOW,0001701051,31466,
Daisytek Intl Corp,DAISYTEK INTL CORP,DZTKQ,0000887403,31467,
Azenta Inc,AZENTA INC,AZTA,0000933974,31477,
Semitool Inc,SEMITOOL INC,SMTL,0000934550,31483,
Integrated Silicon Solution Inc,INTEGRATED SILICON SOLUTION,ISSI,0000854701,31488,
SMART Global Holdings Inc,SMART GLOBAL HOLDINGS INC,SGH,0001616533,31494,
Global Payment Technologies Inc,GLOBAL PAYMENT TECHNOLOGIES,GPTX,0000933020,31500,
Nine Energy Service Inc,NINE ENERGY SERVICE INC,NINE,0001532286,31507,
Yamana Gold Inc,YAMANA GOLD INC,AUY,0001264089,31519,
Stonex Group Inc,STONEX GROUP INC,SNEX,0000913760,31521,
Oak Technology Inc,OAK TECHNOLOGY INC,OAKT,0000824225,31530,
Co-Diagnostic Inc,CO-DIAGNOSTIC INC,CODX,0001692415,31542,
Caremark Rx Inc,CAREMARK RX INC,CMX.1,0001000736,31549,
Speedway Motorsports Inc,SPEEDWAY MOTORSPORTS INC,TRK,0000934648,31560,
ACI Worldwide Inc,ACI WORLDWIDE INC,ACIW,0000935036,31564,
Azzurra Holding Corp,AZZURRA HOLDING CORP,WVWCQ,0000935493,31578,
Byline Bancorp Inc,BYLINE BANCORP INC,BY,0001702750,31585,
Dollar Tree Inc,DOLLAR TREE INC,DLTR,0000935703,31587,
Riviana Foods Inc,RIVIANA FOODS INC,RVFD,0000934650,31590,
Commonwealth Industries Inc,COMMONWEALTH INDUSTRIES INC,CMIN,0000934747,31600,
Major Drilling Group International Inc,MAJOR DRILLING GRP INTL INC,MJDLF,0001173658,31602,
National Instruments Corporation,NATIONAL INSTRUMENTS CORP,NATI,0000935494,31607,
Horizon Health Corp,HORIZON HEALTH CORP,HORC,0000935007,31614,
Catamaran Corp,CATAMARAN CORP,CTRX,0001363851,31616,
Bird Construction Inc,BIRD CONSTRUCTION INC,BIRDF,,31617,
Blue Apron Holdings Inc,BLUE APRON HOLDNG INC,APRN,0001701114,31624,
China Natural Resources Inc,CHINA NATURAL RESOURCES INC,CHNR,0000793628,31626,
Mersana Therapeutics Inc,MERSANA THRPEUTIC INC,MRSN,0001442836,31628,
Reading International Inc.,READING INTL INC  -CL A,RDI,0000716634,31629,
Tintri Inc,TINTRI INC,TNTRQ,0001554875,31631,
Riviera Holdings Corp,RIVIERA HOLDINGS CORP,RVHLQ,0000899647,31634,
Assure Holdings Corp,ASSURE HOLDINGS CORP,IONM,0001798270,31653,
Aileron Therapeutics Inc,AILERON THERAPEUTIC INC,ALRN,0001420565,31656,
Dova Pharmaceuticals Inc,DOVA PHARMACEUTICAL INC,DOVA,0001685071,31657,
Datastream Systems Inc,DATASTREAM SYSTEMS INC,DSTM,0000938481,31660,
AMERISOURCEBERGEN CORPORATION,AMERISOURCEBERGEN CORP,ABC,0001140859,31673,
PCM Inc,PCM INC,PCMI,0000937941,31674,
Finlay Enterprises Inc,FINLAY ENTERPRISES INC,FNLYQ,0000878731,31683,
MB Financial Inc,MB FINANCIAL INC/MD,MBFI,0001139812,31692,
PMI Group Inc.,PMI GROUP INC,PPMIQ,0000935724,31707,
Goodfood Market Corp,GOODFOOD MARKET CORP,GDDFF,0001704114,31714,
Irsa Inversiones Y Representaciones Sa,IRSA INVERSIONES Y REPSTN SA,IRS,0000933267,31717,
SSI Investments II Ltd,SSI INVESTMENTS II LTD,6027B,0001501919,31720,
ANADIGICS Inc,ANADIGICS INC,ANAD,0000940332,31743,
CBIZ Inc,CBIZ INC,CBZ,0000944148,31752,
InKine Pharmaceutical Company Inc,INKINE PHARMACEUTICAL CO INC,INKP,0000929547,31761,
Bank of Marin Bancorp,BANK OF MARIN BANCORP,BMRC,0001403475,31764,
Brighthouse Financial Inc,BRIGHTHOUSE FINANL INC,BHF,0001685040,31774,
Autoscope Technologies Corp,AUTOSCOPE TECHNOLOGIES CORP,AATC,0000943034,31775,
Jamieson Wellness Inc,JAMIESON WELLNESS INC,JWLLF,,31796,
Delphi Technologies PLC,DELPHI TECHNOLOGIES PLC,DLPH,0001707092,31802,
Advantage Solutions Inc,ADVANTAGE SOLUTIONS INC,ADV,0001776661,31803,
Myomo  Inc,MYOMO INC,MYO,0001369290,31805,
Garden Fresh Restaurant Corp.,GARDEN FRESH RESTAURANT CORP,LTUS.,0000942133,31811,
TCG BDC Inc,TCG BDC INC,CGBD,0001544206,31819,
Venator Materials PLC,VENATOR MATERIALS PLC,VNTR,0001705682,31823,
Adomani Inc -Old,ADOMANI INC -OLD,ADOM.1,,31825,
Harmonic Inc,HARMONIC INC,HLIT,0000851310,31843,
Ranger Energy Services Inc,RANGER ENERGY SERVICES,RNGR,0001699039,31845,
Darden Restaurants Inc,DARDEN RESTAURANTS INC,DRI,0000940944,31846,
Reckson Associates Realty Corp.,RECKSON ASSOCS REALTY CORP,RA.1,0000930548,31858,
FEI Co.,FEI CO,FEIC,0000914329,31881,
PHarol SGPS SA,PHAROL SGPS SA,PTGC,0000944747,31882,
Resmed Inc,RESMED INC,RMD,0000943819,31887,
InteliData Technologies Corp,INTELIDATA TECHNOLOGIES CORP,INTD,0001021810,31888,
The Necessity Retail REIT Inc,NECESSITY RET REIT INC (THE),RTL,0001568162,31914,
Agiliti Inc,AGILITI INC,AGTI,0001749704,31954,
Safehold Inc,SAFEHOLD INC,SAFE,0001688852,31958,
TPG RE Finance Trust Inc,TPG RE FINANCE TRT INC,TRTX,0001630472,31966,
Granite Point Mortgage Trust Inc,GRANITE POINT MORTGE TRS INC,GPMT,0001703644,31994,
Kala Pharmaceuticals Inc,KALA PHARMECUTICAL INC,KALA,0001479419,32018,
Akcea Therapeutics Inc,AKCEA THERAPEUTICS INC,AKCA,0001662524,32046,
Exela Technologies Inc,EXELA TECHNOLOGIES INC,XELA,0001620179,32074,
Cision Ltd,CISION LTD,CISN,0001701040,32086,
Concrete Pumping Holdings Inc,CONCRETE PUMPING HOLDINGS,BBCP,0001703956,32098,
Redfin Corp,REDFIN CORP,RDFN,0001382821,32102,
Baker Hughes a GE Co,BAKER HUGHES CO,BKR,0001701605,32106,
Calyxt Inc,CALYXT INC,CLXT,0001705843,32193,
PetIQ Inc,PETIQ INC,PETQ,0001668673,32219,
Dare Bioscience Inc,DARE BIOSCIENCE INC,DARE,0001701808,32233,
Achieve Life Sciences Inc,ACHIEVE LIFE SCIENCES INC,ACHV,0000949858,32271,
Tremont Mortgage Trust,TREMONT MORTGAGE TRUST,TRMT,0001708405,32273,
Starz,STARZ,STRZA,0001507934,32280,
Ecovyst Inc,ECOVYST INC,ECVT,0001708035,32285,
Aerpio Pharmaceuticals Inc,AERPIO PHARMACEUTICALS INC,ARPO,,32298,
Quintana Energy Services Inc,QUINTANA ENERGY SVC INC,QES,0001704235,32303,
Jaguar Health Inc,JAGUAR HEALTH INC,JAGX,0001585608,32316,
Medicenna Therapeutics Corp,MEDICENNA THERAPEUTICS CORP,MDNA,0001807983,32321,
Chicken Soup for the Soul Entertainment Inc,CHICKEN SOUP FOR SOUL ENTNT,CSSE,0001679063,32322,
Despegar com Corp,DESPEGAR COM CORP,DESP,0001703141,32332,
Zai Lab Limited,ZAI LAB LTD,ZLAB,0001704292,32334,
Hamilton Beach Brands Holding Co,HAMILTON BEACH BND HDNG,HBB,0001709164,32352,
Celcuity Inc,CELCUITY INC,CELC,0001603454,32356,
Synlogic Inc,SYNLOGIC INC,SYBX,0001527599,32365,
Secoo Holding Ltd,SECOO HOLDING LTD -ADS,SECO,0001633441,32366,
RYB Education Inc,RYB EDUCATION INC,RYB,0001708441,32371,
CONSOL Energy Inc,CONSOL ENERGY INC,CEIX,0001710366,32372,
Roku Inc,ROKU INC,ROKU,0001428439,32382,
Deciphera Pharmaceuticals Inc,DECIPHERA PHRMCTAL INC,DCPH,0001654151,32383,
BP Midstream Partners LP,BP MIDSTREAM PARTNERS,BPMP,0001708301,32413,
Optinose Inc,OPTINOSE INC,OPTN,0001494650,32451,
Qudian Inc,QUDIAN INC,QD,0001692705,32453,
Arcimoto Inc,ARCIMOTO INC,FUV,0001558583,32456,
Switch Inc,SWITCH INC,SWCH,0001710583,32469,
Angi Inc,ANGI INC,ANGI,0001705110,32502,
Aquantia Corp,AQUANTIA CORP,AQ,0001316016,32524,
SPERO THERAPEUTICS INC,SPERO THERAPEUTICS INC,SPRO,0001701108,32525,
MongoDB Inc,MONGODB INC,MDB,0001441816,32526,
Funko Inc,FUNKO INC,FNKO,0001704711,32528,
Altair Engineering Inc,ALTAIR ENGINEERING INC,ALTR,0001701732,32530,
CarGurus Inc,CARGURUS INC,CARG,0001494259,32541,
Rise Education Cayman Ltd,RISE EDN CYN LTD -ADS,REDU,0001712178,32545,
Sea Ltd,SEA LTD - ADR,SE,0001703399,32546,
Nexa Resources SA,NEXA RESOURCES SA,NEXA,0001713930,32547,
ForeScout Technologies Inc,FORESCOUT TECH INC,FSCT,0001145057,32557,
Ranpak Holdings Corp,RANPAK HOLDINGS CORP,PACK,0001712463,32558,
Bandwidth Inc,BANDWIDTH INC,BAND,0001514416,32571,
National Vision Holdings Inc,NATIONAL VISION HLDGS INC,EYE,0001710155,32574,
VICI Properties Inc,VICI PROPERTIES INC,VICI,0001705696,32580,
Fat Brands Inc,FAT BRANDS INC,FAT,0001705012,32592,
CBTX Inc,CBTX INC,CBTX,0001473844,32600,
Evoqua Water Technologies Corp,EVOQUA WATER TECH,AQUA,0001604643,32610,
Four Seasons Education (Cayman) Inc,FOUR SEASONS EDN -ADR,FEDU,0001709819,32615,
PPDAI Group Inc,FINVOLUTION GROUP -ADR,FINV,0001691445,32625,
ACM Research Inc,ACM RESEARCH INC,ACMR,0001680062,32638,
Sogou Inc,SOGOU INC,SOGO,0001713947,32639,
SailPoint Technologies Holdings Inc,SAILPOINT TECHNO HLDG,SAIL,0001627857,32641,
Jianpu Technology Inc,JIANPU TECH -ADR,JT,0001713923,32654,
Stelco Holdings Inc.,STELCO HOLDINGS INC,STZHF,,32670,
Cue Biopharma Inc,CUE BIOPHARMA,CUE,0001645460,32674,
Spark Networks SE,SPARK NETWORKS SE,LOV,0001705338,32677,
Stitch Fix Inc,STITCH FIX INC,SFIX,0001576942,32688,
Sterling Bancorp Inc,STERLING BANCORP INC,SBT,0001680379,32698,
Arcturus Therapeutics Holdings Inc,ARCTURUS THERAPETCS HOLD INC,ARCT,0001768224,32715,
iClick Interactive Asia Group Ltd,ICLICK INTRC ASIA -ADR,ICLK,0001697818,32741,
Newmark Group Inc,NEWMARK GROUP INC,NMRK,0001690680,32748,
LexinFintech Holdings Ltd,LEXINFINTECH HLDG -ADR,LX,0001708259,32750,
Industrial Logistics Properties Trust,INDSTRL LGST PRPT TRST,ILPT,0001717307,32751,
Luther Burbank Corp,LUTHER BURBANK CORP,LBC,0001475348,32763,
Equitable Holdings Inc,EQUITABLE HOLDINGS INC,EQH,0001333986,32767,
WillScot Mobile Mini Holdings Corp,WILLSCOT MOBILE MINI HOLDING,WSC,0001647088,32771,
Quanterix Corp,QUANTERIX CORP,QTRX,0001503274,32792,
Neo Performance Materials Inc,NEO PERFORMANCE MATERLAS INC,NOPMF,,32799,
Roots Corp,ROOTS CORP,RROTF,,32800,
Select Interior Concepts Inc,SELECT INTERIOR CONCEPTS INC,SIC,0001723866,32804,
Apollo Medical Holdings Inc,APOLLO MEDICAL HOLDING INC,AMEH,0001083446,32809,
